4d
5c's
6c's
a bit the
a jay
mai ka li gong hor li gian
mai la mai la wa mai
mai lai
mai siao siao
mai tu liao
main baju
main bedal
main control
main gila
main hentam
main jubo
main kasar
main kutuk
main main
main pantat
main rembat
main sondol
main tipu
main tuduh
main whack
majok
mak bapak tak ajar
mak kau
mak nenek
makan
makan angin
makan hati
makan session
makan shit
makan snake
makan suap
makan taik
makcik
makcik add
makcikfied
make noise
make prata
make way
making money
maknyah
maksiat
makwa
malas
malas nak layan
malay costume
malay cuisine
malay shaman
malaysia asal boleh
maling shit
malingsia
malty flavor
malu
mamak
mamak shop
mamat
mambo
mamee
mamee monster
mami jarum
mampat
mampoi
mampus
mana ada masa
mana eh sai
mana got masa
mana nak ajak
mana ooh eng
manage prostitute
mandai
mandaikku yethuraan
mandi cowboy
mangali
mangkuk
manja
mannangkatti
mantao
mantat
manyak
map drawing
marah
marble cake
mark attendance
masai
masak masak
masala chai
masam manis
maseelis
mashallah
mass order
masuk baris
mat
mat roker
mat bunga
mat emo
mat jiwa
mat kahwin kahwin
mat kental
mat motor
mat rempit
mat rep
mat rock
mat salleh
mat smart
mat taper
mata
mata duitan
mata keroh
mata kuching
mata lembu
mata mata
mata potek
match fixing
matcha
mati
maximum power
mc
mc king
mc queen
mcjiji
mcjiji food
mckkj
mediacorp
medical certificate
mee hoon
mei ban fa
mei jia jiao
mei liang xin
mei mei
mei nu
mei you yong
melampau
melebih
melebih lebih
melepas
meluat
membabi buta
membuta
memekak
memorize blindly
mempersiasuikan
men in white
mendak
meng kia long tio wu siah
mengada ngada
mengarut
mengumpat
mental hospital
mentel
menyampah
menyampuk
menyibuk
menyundal
menyusahkan orang
mepek
merajok
merajuk
merdeka generation
merengek
merengek rengek
merepek
meringue icing
merlion
merlion ppl
mexico bun
mi mi
mian lui
miang
mianhae
mid-autumn festival
military command
military design
military exercise
milo van milo
minah
minah bunga
minah emo
minah jiwa
minah kahwin kahwin
minah kental
minah motor
minah rempit
minah rep
minah rock
minah taper
mind your own business
mineral water
ming jiang kueh
mini packet
mini-packet
minor role
minyak
miskin
miss shooting target
miss the point
missed chance
missed opportunity
missed timing
missing tooth
miw
mix and match
mixed blood
mixed culture
mixed heritage
mixed vegetable
mixed vegetables
mklghlg
mkltws
mlmlwm
mm sam mm say
mm tzai si
mm zai
mna
mo
moh man tai
moh tau moh mei
moh tuck keng
moh tuck teng
moi
mommom eyeglass
mommom eyeglass chocolate
monetary gift
money crazy
money eyed
money face
money minded
money scam
mong cha cha
monkey see monkey do
monyet see monyet do
mooncake
mooncake festival
moonjum moraiyum
mootai
mor peng
more work
mosquitoes-infested
moulded cake
mountain tortoise
mounting anger
mouth got gold
mouth itchy
move aside
mu lao hu
muah chee
muddle-headed
muffadet
mug
mugger
mugger toad
muka blank
muka chee bye
muka crap
muka lan jiao
muka pecah
muka scrap
muka stoink
muka stone
muka tebal
mulut berat
mulut besar
mulut buih
mulut chee bye
mulut itchy
mulut laser
mulut murai
mulut no insurance
mulut tempayan
mummy jarum
mundachi
mundam
mung bean flour
mungsat
municipal office
munjen
muntah blood
murah
murah hati
murah ppl
murah rezeki
muruku ikan
musibot
musibut
mutton rendang
my england not powderful
my foot
my one
myob
mythical creature
na beh
naataa
naayi
nabedous
nabeh
naggy
nah beh
naik angin
naik hantu
namaste
nangka busuk
nanny nanny boo boo
nanyang technological university
nao hiah
nasi goreng istimewa
nasi putih
nation builder
national service
national servicemen
navigation exercise
nbab
ncac
necroing
neh neh
neh neh ni boo boo
neh neh pok
neighborhood game
nenek
netizen
never eat rice
never say early early
never see before is it
new bird
new rich
newbie
neyi
ngam ngam
ngeow
nhah
nhnt
ni hao
ni na beh
ni na bu
ni nao hiah
ni ni
nia
nia gong
nia gong de ji dan
niang niang qiang
night market
nine emperor gods
ninja van
nlal
nng ka peng
no horse run
no pakai
no sound no picture
no action talk only
no balls
no bodek
no brain
no choice
no excuse
no face
no filing
no fish prawn also can
no gahmen
no head no tail
no money
no money no honey nobody love me
no otak
no picture no talk
no shame
no speeyak
noob
nose-picking
not happy talk outside
not say i say what
not beng act beng
not chio act chio
not cool act cool
not cute act cute
not handsome act handsome
not hensem act hensem
not lian act lian
not making
not naise act naise
not nice act nice
not pretty act pretty
not rich act rich
not serious
not shuai act shuai
not smart act smart
not tall act tall
nrar
nsas
ntat
nu qiang ren
nua
nvm
nyanyi sumbang
nyonya kebaya
ob marker
obasan
obiang
obvious answer
occifer
off
off day
off beat cha cha
off duty
officer vetti
offshore island
often hang out
oh my tian
oi
okt
old bird
old generation
olden days
ombodhu
on
on lah
on charge
on guard
on off
on the ball
on the wrong ball
ondeh ondeh
one
one kind
one leg kick
one sided
one sided love
ong heng huat
ong heng huat ah
ons
ooh ngya boh
ooh say
ooh ya boh
opeh
open one eye close one eye
oppa
oppies
opposition party
or che
or kwee keng
or kwee poh
or kwee tau
or sia hui
or-bi-good
orang cina bukan cina
orang putih
orange fruit
orange-coloured
orbi
orbi good
orbi quek
ord
orgas
orh
orh hor
orh pee sai
orh chee bye
orh gao
orh hoh
orh pee sai
otak crack
otak geliga
otak gila
otak kacang
otak kolot
otak kosong
otak kotor
otak lu
otak senget
otak sod
otak udang
otak yellow
otak you
otang
outfield training
outside food
overseas chinese bukan china
overseas studies
ow bway kong
ow bway ooh kwee
owa peya som
owe money pay money
own time own target
ownself
ownself check ownself
pa jiao
pack food
packet food
padan muka
paedo
paggro
pah buay see
pah buay toh
pah cheow bak
pah lan
pahala
pai
pai ang kong
pai char bo
pai cho
pai jiak
pai kah
pai kia
pai kwa
pai lang
pai miah
pai seh
pai sin
pai tau
pai than
pai thia
pain
pak bang
pak chew cheng
pak kiu
pak puay kee
pak tor
pak zam
pakat
pakay
pakcik
pakcik add
pakcikfied
paknyah
paktor
paktorlogy
pakwa
pala batu
pala botak
pala butoh
pala crack
pala otak bapak kau
pala otak kau
pala otak lu
pala otak mak kau
pala pening
pala pusing
palm leaf
panas
panas baran
panas hati
pancet
panchan
pandai
pandan leaf
pandey
pandi
pang chance
pang chui lao
pang chan
pang chiu
pang giu
pang jio
pang kang
pang kang liao
pang pooi
pang pui kee
pang sai
pang seh
pang seh king
pang seh queen
pang sim
pang zui lao
pangkeng
panjang tangan
panjang umur
pantang
pantat gatal
pantat itchy
pao niu
pao toh
pap internet bridgade
pap internet brigade
pap vampire
papa kedana
paper aeroplane
paper airplane
paper cone
paper general
parachi
paradesi
paraiyan
parking coupon
parking fee
party against people
party cube
partygoer
pasal
pasang
pasang telinga
pasar malam
pass motion
pass urine
patah hati
paternal uncle
patron saint
pattern chu kar liau
pattern more than badminton
pattern tzuay kuay badminton
pau
pau bak chang
pau chia
pau ka liao
pau ka liau
pau tau
pay and pay
pay up
pcc
pdmm
peanut brain
pearl-like
pecah
pecah lobang
pee thinnu
peidu mama
pek chek
pek tor he
pekak
pekak badak
pelahap
pelat
pelik
pemalas
penagih
penagih dadah
penakut
penalty fee
penang cuisine
penat
peng
peng mil
peng you
pengecut
pengsan
pening
pening kepala
penipu
penis retraction
penny pinching
people mountain people sea
peoples action party
pepek
pepero
perakus
peranakan
peranakan cuisine
perangai
perangai beruk
perangai buruk
perangai hantu
perangai pecah
perasan
perasan ah beng
perasan ah lian
perasan baik
perasan beng
perasan besar
perasan big
perasan bijak
perasan busy
perasan cantik
perasan chio
perasan class
perasan classy
perasan clever
perasan comel
perasan cool
perasan cute
perasan fierce
perasan funny
perasan garang
perasan gerek
perasan good
perasan handsome
perasan hensem
perasan hot
perasan jamb
perasan jambu
perasan kaya
perasan ke lian
perasan kelakar
perasan kesian
perasan kiut
perasan lawa
perasan lian
perasan lomantic
perasan macho
perasan marah
perasan mat
perasan mat salleh
perasan minah
perasan muda
perasan nice
perasan pandai
perasan pelat
perasan pretty
perasan rich
perasan romantic
perasan sachok
perasan seksi
perasan sendiri
perasan sexy
perasan shuai
perasan slim
perasan smart
perasan strong
perasan sweet
perasan tall
perasan terror
perasan young
perbird
pergi mampoi
pergi mampus
pergi mati
perlis laksa
permanent residence
perng tang
perut kembung
petai
pew pew
peyi
pgo
phewweet
photostat
phua chee bye
pi la
pi sai
pi sai country
pia
pia chui
piak
piak first talk later
piak piak
pian chiah
pian jiak
piang
pick up stick
pig ear biscuit
pigu
pijak
pijak kepala
pilu
pinkerton syndrome
pinkie lee
pintar
pioneer generation
pisaasu
pisang
pisang emas
pisang kelat
pisang keling
pisang kepok
pisang mas
pisang rajah
pisau cukur
plan fail
plaster mulut
plaster your mouth
plasterwork
play a fool
play catching
play cheat
play foul
play hard to get
play innocent
play play
play rough
play shirt
play tai chi
played out
please others
pleasure seeking
pledge loyalty
pls
plu
pocky
pocong
poda
podi
poh mata
point finger
pok
pok kai
pok kai hum kar chan
polar snack
police and thief
politaik
polite address term
polite greeting
polite request
political discourse
political family
political party
politick
polo sweet
pon
pondan
ponding
pong kan
pongal
ponteng
pontianak
poo
poochandi
poon zui
poopxplosion
pop corn durian
popiah
popiah goreng
popo fish muruku
popo muruku ikan
popz
por
por lan pa
posertive
potato wheel
potato wheel cracker
potong
potong ice cream
potong jalan
potong queue
potong steam
pounded dried prawn
pow ka leow
powder bath
powder form
powderful
powdery form
power
power to the kiduga
power to the kidugaan
poyo
pp
ppl
prata
prata dog
prata flip
prc
pre-tertiary education
pregnant duck
prembry
prickly heat powder
primary school
pro
pro establishment
protect pride
provision shop
ps
pua chao
pua chew cheng
pua chu teng
puah liap
puas
puasa
public nuisance
public servant
public transport
pudding jagung
pudding marmer
pui
pui chao nuah
puki
pukimak
pukul
pulasan
pulau ntu
pulut
pulut inti
pulut panggang
pulut serunding
pulut tai tai
pulut tatal
pulut tekan
pumchek
pump full tank
pundai
pundeh
punnaakku
push pop
push up
puteri lilin
puteri salat
putus
pwd
pwn
pyaar
pyramid-shaped
q mo
qi guai
qia char bor
qia tar por
qin bo sai
qing ming festival
qq
qu si
qu yuan
quack medicine
queen control
rabak
rabak murtabak
rabak rabak
rabaking
rabun ayam
rabz
rabz kebabz
rag-and-bone man
rainbow bread
raja blur
raja bomoh
raja bully
raja complain
raja kelong
ramadhan
rara
raya
ready already
real cheese pie
reconnaisance
red bean
red envelope
red face
red headscarf
red money packet
red packet
red rough skin
red wrapper
regular soldier
rekey
relak
relak lah
relax one corner
release anger
rembat
remove testicles
rempah
rempah udang
ren
rendang ayam
rendang daging
rendang kambing
reservist
reunion dinner
rice bowl
rice cracker
rice flour
ring pop
rnostalgic
road hog
robert tao
rod mood
rogol
rojak
rojak bandung
rojak
rokok
role model
roll eye
rosak
rosy complexion
rotan
roti
roti bakar
roti john
roti kaya
roti prata
rotten jackfruit
round face
round stomach
roundish shape
rubber stamp
rugi
run lion
run road
rush home
sa la kau
saamy
saat
sabo
sabo king
sabo queen
sachok
sad case
sadded
sadhaiyan
saf 100
sah kah
sah kah tzua
saht
saht saht
saht saht boh chioh
sai kang
sai kang warrior
saithan ke bacha
sakali
sakar
sakit
sakit hati
sakit jiwa
sakit kepala
sakit otak
sakti
salah
salah parking
saman
saman auntie
saman uncle
saman unker
sambal cuka
samdol
same age
same day celebration
same religion
same sex
sammy boy forum
sampai hati
sampai tua
sampat
sampuk
sampuk menyampuk
samseng
samseng kia
samster
samsui woman
san nin fai lok
san por
santan
sapau
sape cakap
sappe matter
sapport
sapu
sar suku
sarabat stall
sarakku
sarang
sarawak laksa
sarawak origin
sardine
sargen
sarong party girl
sarpork
sarsi
sarsi float
sarung
satay fish
satay sauce
satay stick
satki
sattaikaaran
sattaikaran
satu badan angin
sauce
save face
save money
save yourself
say again
say her
say him
say first
say me
say me say yourself
say people say yourself
say so
say somemore
sayang
sayang seh
scare die me
scared what
scarycat
scissors paper stone
score point
scotch tape your mouth
scrap face
screw inside out
screw loose
seafarer
seafood cracker
seasoned seaweed
seaweed chicken
second class citizen
sedap
sedih
seductress
see first
see how
see me no up
see me small
see mirror
see see look look
see the leg ah
see what
segan
seh
seh bin
sei
sei bat po
sei chor
sei lou
sei yan tau
seik bai
sek
sekali
sekel
sekel kepala
seksa
selar
selasih
selekeh
selendang
selenge
self-pwn
selipar ah pek
selit
sell my backside
semangat
sembunyi muka
semek
semme
semperit
semula
senang
senang diri
sendiri buat sendiri tanggung
seng lee cho tua
sengau
senget
sengket
senju
sensitive issue
seow
seow eh
sepet
seram sejuk
serani
serunding ayam
serunding daging
serve you right
sesame ball
sesame seed
set
set result
set!
settle
settle outside
seven morning eight morning cry father cry mother
seventh month
sewel
sewer serpent
sewer service
shaddup
shag
shake head
shake leg
shake leg company
shame on you
shame shame
shame shame babu singh
shaved ice
shee shee
shi fu
shift bell curve
shiling
shingz
shiny wrapper
shiok
shiok sendiri
shit face
shit pants
shitapore
shitaporean
shitapura
shooting drill
show face
show half ball
show superiority
showflat
shredded bamboo shoot
shuai
shuai dai
shuai ge
si beh
si beh sian
si bak kau
si fat guai
si ginah
si mi
si mi tai ji
si noong kia
si suah lai
sia suay
siah
siak
sial
sial lah
sialan
siam
siam bu
siam one corner
siam tiu
sian
sian half
sian jit pua
sian tao
sian tao ong
siang kah pager
siang siang tak cakap
siang siang tak nak cakap
siansation
siao
siao cha bor
siao ding dong
siao kia
siao kow
siao lang
siao liao
siao on
siao peng
siao tar por
siapa cakap
sibeh
sibuk
sibuk sibuk
sicko
sign 1206
sign extra
sign on
sik fung
sik pau mei
sillpore
silly goat
silly toad
sillypore
sillyporean
sillypura
sim cheng bo ho
sim tia
sim tiah
sin ga po
sin jiao
sin ni kuai lok
singabloodypore
singapolang
singapower
singapura
singlish
sinkek
sinkie
sinseh
sio
siol
siong
siot
sirukki
sivan sothu
slap hand
sleng
slim mlim
slip inside
small kacang
smart-aleck
smelly face
smoke
smooth talker
snail-shape
snake king
snake queen
snap a shot
sneered at
sneeze non-stop
sniff glue
so
so how
so now how
soc
social climber
sock-shaped
sod
sod dot
sod sod
soft bun
soft jelly
soh chai
soh si
sohai
solid
solo kia
sombong
something wrong up there
sondol
song
song song gao jurong
songket
songkok
soon li
soothu
sor zai
sorry naik lorry
sorry no cure
sot sot
sotong
sour look
soursop
soursop puree
speaking siak
specky
spectacle chocolate
spg
spiak
spin cracker
spinning top
spoil
spoil market
sponge cake
spot on
spout nonsense
squeeze through
stable pah marble
stand by bed
stand by universe
standard
staple mulut
staple your mouth
stay
stayber pah marber
steady
steady hand
steady pom pee pee
steali
steali pom pee pee
steam
steamed cake
steamed glutinous rice
steamed nut
step
step ah beng
step ah lian
step angry
step baik
step beng
step besar
step big
step bijak
step blur
step bodoh
step busy
step cantik
step chio
step class
step classy
step clever
step comel
step cool
step cute
step fierce
step funny
step garang
step gerek
step good
step handsome
step hensem
step hot
step jamb
step jambu
step kacak
step kaya
step ke ai
step ke lian
step kelakar
step kesian
step kiut
step kuai
step lawa
step lian
step lomantic
step macho
step marah
step mat
step mat salleh
step minah
step muda
step nice
step pandai
step pelat
step pretty
step rich
step romantic
step sachok
step sad
step sedih
step sek
step sexy
step shuai
step sibuk
step slim
step smart
step stupid
step sweet
step tall
step terror
step young
stewpiak
stewpig
stick game
stick to rule
stick-shaped
sticky rice
sticky rice dumpling
stinko
stir fried turnip
stir shit
stoink
stoink face
stomp it
stomper
stone
stone face
stoner
strawberry generation
street smart
string game
study mama
stun
stunned like vegetable
stupiak
stupid mistake
stylo
stylo milo
sua par kau
suaku
suan
suara sumbang
suay
suay suay
sub standard
subhanallah
submissive husband
subtle anger
suck thumb
sud sud
sudah
sudah lah
sugee
sugoi
sui
suka
suka hati
suka hati lah
suka suka
sukati
sukati lah
suku
sumpah
sundal
sundry good
sup sup sui
super ring
super white horse
superior absent
support dari belakang
sure anot
sure can one
susah
susahkan orang
sutun
swaku
swee
swee swee
swee swee boh cham chwee
swee swee boh kay chwee
swee swee boh zhao chwee
sweet like diabetes
sweet nothings
swing tangan
switch off
switch on
switch stance
syncopant
syt
t drops
tabah
tabah hati
tactical movement
taf club
tagih dadah
tahan
tahi arak
tahi dadah
tahi gossip
tahi hutang
tahi judi
tahi kucing
tahu
tahu goreng
tai chi
tai chi master
tai tai
taik
taiko
tair
tak ada brain
tak ada filter
tak ada otak
tak ada standard
tak apa
tak betul
tak boleh
tak boleh angkat
tak boleh angz
tak boleh make it
tak boleh tahan
tak boleh take it
tak cakap siang siang
tak guna
tak jalan
tak kena
tak kuasa
tak larat
tak logic
tak makan saman
tak nak sua
tak nak sudah
tak nak tak apa
tak nak takpe
tak pakai
tak pe
tak sanggup
tak senonoh
tak tahu malu
takde bodek
takde brain
takde filter
takde hal cari hal
takde hati
takde otak
takde pasal cari pasal
takde problem cari problem
takde standard
take away
take without permission
take you go market sell
talam ubi
talam ubi kayu
talcum powder
talk 3 talk 4
talk big
talk bird
talk cock
talk cock sing song
talk loudly
talk nonsense
talk rot
talk rubbish
tamade
tamago boro
tambah
tambelan laksa
tampan
tan boh chiak
tan chiak
tan chiak peng
tan colored skin
tan ku ku
tan lui
tandoori masala
tang chek
tang kee
tang ku ku
tangan itchy
tangkai jering
tangkap
tangkap chio
tangkap emo
tangkap feel
tangkap feeling
tangkap feeling feeling
tangkap glam
tangkap glamer
tangkap glamour
tangkap handsome
tangkap jamb
tangkap jambu
tangkap jiwang
tangkap lawa
tangkap macho
tangkap sweet
tank crew
tankee
tao eh
tao yen
tap water
tapi
tapioca flour
tapioca pearl
tar por
target practice
tarik harga
taruh hati
tau geh
tau hong
tau kee
tau tiah
taught a lesson
taupok
tear piak shoot
tebal muka
techno chee ko pek
techno cheese pie
teddy biscuit
tee kee
tee nya kueh
teh
teh gu
teh gu lai liao
teh kosong
teh lum pa chi saht
teh masala
teh pao
teh tarik
teh-C
tei mia
tekan
tekan session
telekung
telinga gajah
telinga tak korek
telt
telur mata lembu
temasek holdings
temasick
tembalik
tempat biasa
tempat regular
tempayan mouth
teng teng
tengik
tengok kaki ah
tengok kaki lah
tengok kaki sikit
teochew cuisine
tepi sikit
tepuk sebelah tangan
tepung
tepung gomak
tepung gomak fnb
ter bak chek
ter bye
ter tau
ter tau ter nao
terbaboom
terbalik
terengganu laksa
terh
terkongkong
terperanjat
terperanjat beruk
terror
teruk
tetek
thaathaa
thaipusam
thalai
thambi
than chia peng
thandachoru
thangachi
thangam
thanz
the peng
then you know
thiam
thick-headed
thin disc candy
thin flat dough
thin wafer
thin-skinned
thoolu
thoongumoonji
thousand layer cake
throw marbles
throw smoke
thru
thulukkaci
thulukkan
thulukkar
thx
ti gong
ti gong tia gong lang
tia
tia bo
tia gong
tiam
tian mi mi
tidak apa
tidur tidur ayam
tiger mother
tiger show
tikam
tikam tikam
tiko
tiko pek
time lambat
tin teh
tio
tio beh pio
tio kan
tio stomp
tio stun
tiong
tiong xim
tionged
tiongified
tipu
tipu duit
tipu feeling
tipu money
tir ko pek
tired die me
tiu
tock tock man
togok
togok session
toh
tok chai tau
tok kong
tok sad
tolong
tolong lah
tolong lah sikit
tolong sikit
toman
tombalik
tompang
tong keng
tong shu
tony tan
too lan
too free
too noisy
toot
topo general
topo king
tor hwee
tora
touch lottery
touch wood
tow kong
towkay
towkay neo
town council
traditional brew
traditional chinese medicine
trouble others
tru
tsao
tsao kng
tt
ttm
tu hao
tu lan
tua
tua bangka
tua ganyut
tua kang
tua kee
tua kerepot
tua liap
tua pai
tua pek kong
tua pian sian
tua tao
tua teow
tuang
tuang king
tuang queen
tuangster
tube-shaped
tudung
tum sim
tumbuk
tumpang
tumpang bahagia
tumpang gembira
tumpang happy
tumpang sad
tumpang sedih
tung shing
tunggu lama lama
tunjuk muka
tup pai
tutup one eye
tutup satu mata
tutup sebelah mata
twisted mind
twisties
two players
ty
tyco
tyvm
tzai
tzai chiu
tzai si
tze char
udderwise
uh uh sia
uh uh siak
uh uh siol
uh uh siot
ular
ular king
ular queen
ulu
uluated
um chio
umph
un-glam
uncle
uncle ice cream
unclear vision
unclefied
under table money
understooded
unglam
unkerfied
untahanable
up
up the lorry
up there
urbanista
vaisakhi
vanakkam
vennai
very the
very what one
vesak day
vetti
vetti officer
viet bu
void deck
vomit blood
vpl
wa kao
wa lan
wa lau
wa piang
wa seh
wa siao
wah
wah lap
wait long long
wake up your idea
walk walk
wandering spirit
wang ba dan
wang qing shui
wang wang
wash photo
waste air liur
waste duit
waste effort
waste money
waste saliva
watch out
wax apple
wayang
wayang king
wayang pek ji
wayang ppl
wayang queen
weeweet
wenla
wet market
wet wet water
weva
whack
whacko
whacky
what
what done
what lah
what look look
what talking you
what the fish
what the shit
what thing
what to do
what-squat
wheel cracker
where got god in heaven
where ada time
where got
where got time
whew
white devil
white face
white horse
white rabbit
white robe
white spider
why you so liddat ar
win oreddy
win liao
win lottery
winter solstice
woi
wont die
woo hoo
woodbridge hospital
worf
workers party
working class
worn out
worry about grades
worry about reputation
wound dressing
woven fabric
wowie
wowo
wowo king
wu hee kwa
wu hua
wu hua guo
wu kok
wu liao
wu lui
wu sim
wurf
xdd
xhh
xia lan
xia suay
xia lan
xiang jiao ren
xiao di
xiao di di
xiao long bao
xiao long nu
xiao man tou
xiao mei mei
xiao qiang
xiao san
xie xie
xin nian kuai le
xin tong
xingfu
xinyao
xln
xmm
ya right
ya siol
yalor
yam paste
yam seng
yan yan
yandao
yang or
yat keok tek
yau kwee
yau mo gau chor
yau siu
yau siu kia
yaya
yaya king
yaya papaya
yaya queen
ye eleh
yeh yeh
yelah tu
yellow minded
yest
yeye or
yeye pantat
yistana
you think i thought who confirm
you want 10 cent
you mei you gao cuo
you say i say who confirm
you talk i talk who listen
you tiao
you tot wat
young ruffian
your father own this place
your father own this road
your grandfather's place ah
your grandfather's road ah
your head
yu sheng
yum cha
yum seng
yummy
yupi bear
yupi gummy hotdog
yupi iced cola
yuppie
z monster
zai
zao
zao beh hoon
zao hor
zao king
zao kng
zao queen
zao yim
zar tan
zeh zeh
zero fighter
zero point
zg
zheng ah
zhng
zho pai nang
zhu tou zhu nao
zhun
zhun bo
zhun zhun
zhup
zi siao
zi cai
zi char
zina
zor kang
zor tang
zor teng
zzz
ram
duet
contrast
pancake
telegram
motor
cellular
two
extend
native
swamp
cylinder
foul
leather
marry
entrance
tremor
soak
drip
confront
welfare
ligament
exhaust
another
great
local
sheet
chore
sling
discover
first
nature
dodge
hassle
sure
petite
artery
momentum
pride
each
browse
cheap
role
bowl
bride
runny
crossbow
commerce
cowboy
diagnose
affirm
dinosaur
tasty
hinder
hope
private
dolphin
grin
antidote
ahead
pitcher
clinic
internal
salt
mound
gracious
drawn
register
clan
ultimate
prune
duo
avenue
interest
beard
eerie
over
rampage
reap
feud
indulge
gallop
drive
orgasm
cough
ugly
chastity
thief
vanish
overflow
coach
sorry
agitate
sultan
harmony
spray
pigment
zest
ill
crowd
Mormon
bagpipe
cosmetic
abdomen
darken
later
washer
raw
sinister
recipe
romance
water
gamble
bright
auto
article
clog
shoes
sparse
book
brittle
page
wag
wand
science
possess
menthol
bald
fasten
success
foe
parent
fridge
gory
hut
uphold
advocate
clover
severe
parka
seven
thrive
poverty
eye
ego
glutton
platinum
bait
pension
bonfire
tint
ruin
filter
opal
doze
realm
dessert
view
account
fusion
plus
trident
school
ground
moon
travel
imitate
finish
cinnamon
tab
mild
watery
bag
eastern
embark
smirk
honey
stride
malice
zoo
exist
papa
cupcake
candid
woof
absolute
studious
idiotic
wonder
sunshine
else
overlook
pageant
grenade
concrete
find
area
caress
lamb
dine
young
palace
blow
educate
spa
disciple
skit
friendly
preach
gain
neat
sliver
embassy
damage
tropic
gorgeous
romantic
rail
glimpse
cautious
feudal
indirect
tailor
pram
vacation
siren
bone
odd
choice
ritual
squirt
chlorine
nymph
fixation
boredom
decipher
pasta
ramble
corridor
lavender
puritan
examine
spy
hunk
donation
tunnel
jog
ton
pastoral
pudding
party
tyre
factual
chemist
patio
slipper
genetic
gold
nomad
serve
grass
crater
diploma
homely
mingle
clerical
leak
anyway
lime
gull
elect
cargo
kindly
privacy
spot
mixture
apricot
bustle
canister
murmur
keyboard
mortgage
woman
willing
hybrid
taboo
bronze
lake
Tuesday
cranky
length
accent
lineage
taps
blood
goal
ponder
smother
known
fold
brake
stranger
word
unicorn
almond
passage
indoor
fire
carpet
Canadian
band
decode
beak
killing
ocean
might
greasy
attorney
steal
read
pose
exhale
scholar
apart
baby
harvest
snake
spend
month
jest
location
plunge
seize
face
shabby
worsen
pond
curious
cursive
cancel
seek
degrade
waltz
symmetry
destroy
tile
conceive
arena
leisure
axis
dreaming
active
pick
stole
metal
ideology
request
baffle
player
spurt
insomnia
salmon
distress
idea
job
cannibal
revolt
baton
thyroid
guess
extract
dime
thong
surround
nostril
make
bathroom
join
bamboo
resource
came
hem
custom
triumph
cop
admire
hunch
capsule
port
queasy
pink
cent
click
baggy
tattle
away
overalls
fin
error
twig
rid
lack
cinema
miss
revenge
period
cheek
eel
quad
pregnant
infer
rib
burp
skip
tent
tolerate
bra
justify
muscular
shove
neuron
marathon
bashful
happen
oven
parkway
measles
knife
relish
tray
slice
unknown
favour
amend
sprawl
bachelor
numb
ghoul
unstable
mince
crafty
among
dynasty
snuggle
stock
itch
parrot
swan
sprite
sewage
immoral
membrane
farewell
fine
know
involve
cosy
wise
radius
legality
vehicle
soot
trio
jewel
ascent
relevant
submerge
acne
move
upside
owe
patriot
tendency
rise
breed
shoe
funk
jumble
poop
weapon
effect
consider
ruby
pilgrim
fifteen
statue
control
bum
steer
renegade
external
optic
strange
mistake
robbery
evade
swimsuit
panic
crust
cave
carbon
nativity
staple
sponsor
typical
scuba
wretched
include
award
kit
feature
employ
aisle
busybody
anger
mustard
tease
bold
kindle
inquiry
lag
evening
catfish
shamrock
loss
generous
sick
granite
acid
stove
summary
entry
raise
traitor
tub
rocket
academy
mesh
ladder
irony
camp
fluid
walrus
static
thing
scenic
bikini
blonde
kid
snare
actually
crease
shriek
impress
ask
income
economy
shower
wharf
bite
devotion
eat
eraser
stimulus
female
transfer
lab
system
taxi
brave
adultery
varied
bazooka
top
cuticle
sailor
diaper
kidney
odour
mortar
Belgian
peroxide
upgrade
smug
packet
quirk
photo
recorder
key
seesaw
husky
lens
toilet
dug
gust
cobweb
pester
bitch
parsley
skunk
honeydew
probe
feel
pony
opium
obstruct
crucial
tear
muse
erratic
maximum
feedback
mitten
windy
cobbler
obscure
build
bruise
careless
quiver
morality
third
coma
argue
slash
body
burden
proven
lawyer
mirror
paste
pervert
letter
facial
soil
ash
remark
grade
silly
syndrome
memorial
darling
optical
cordial
wall
mother
shotgun
sesame
suite
cub
digit
sphinx
jeopardy
morbid
bell
enrage
banker
dismal
fawn
roof
barley
invalid
assault
clear
aspire
identify
eve
hurdle
frantic
base
prickly
deficit
martini
see
karate
wind
finch
protein
revival
guard
miracle
lotion
biting
intern
dorm
stack
pyramid
baritone
fertile
tribal
hero
hoax
fuse
porn
slug
grinder
ignition
daring
fort
yearn
therapy
indoors
rapidly
coil
between
function
talk
glimmer
spool
faith
case
canvas
manly
medium
hardy
craze
insect
array
employer
fee
vanilla
yellow
possible
form
earn
original
tide
startle
biblical
freckle
noon
spine
tan
owl
next
camera
Buddhism
ongoing
treat
kiss
waitress
trace
hazy
bleed
fiesta
accurate
term
wrath
lax
budget
pure
youth
longer
bubble
soy
big
keen
warn
led
portable
clamp
housing
once
bin
dwell
real
total
discard
harpoon
learning
atheist
chorus
reliable
differ
fracture
upset
secret
pole
tape
plaster
moderate
pitch
knickers
upon
schedule
calorie
pattern
basis
fungi
empire
wheat
chase
noose
cast
suburban
suburb
tune
assured
storm
injure
novel
dig
confine
thicket
building
frozen
exclude
shift
rabbi
worthy
insult
sewer
appeal
fir
swell
juggler
platter
jigsaw
rugby
peculiar
hideous
colon
crescent
impolite
officer
anew
relation
beaten
public
globe
plane
govern
cosmic
scissors
glisten
voodoo
speed
pursuit
stout
divine
boat
unreal
sled
rot
